measure,value
website_5y_start,2021-09-12
website_5y_end,2026-09-06
website_5y_interval_days,7
website_90d_start,2026-06-12
website_90d_end,2026-09-12
website_90d_interval_days,1
method_rows,783
method_identical_pct,100
method_mean_abs_difference,0
method_max_abs_difference,0
method_mean_signed_difference,0
removed_identical_pct,87.1647509578544
removed_mean_abs_difference,0.136015325670498
removed_max_abs_difference,4
repeat_identical_pct,100
repeat_mean_abs_difference,0
repeat_max_abs_difference,0
harris_identical_pct,0
harris_mean_abs_difference,7.46360153256705
harris_max_abs_difference,35
