date,keyword,three_term_query,two_term_query,difference
2021-09-12,Trump,1,1,0
2021-09-12,Election,2,2,0
2021-09-19,Trump,1,1,0
2021-09-19,Election,1,1,0
2021-09-26,Trump,1,1,0
2021-09-26,Election,0,0,0
2021-10-03,Trump,1,1,0
2021-10-03,Election,0,0,0
2021-10-10,Trump,1,1,0
2021-10-10,Election,0,0,0
2021-10-17,Trump,1,1,0
2021-10-17,Election,0,0,0
2021-10-24,Trump,1,1,0
2021-10-24,Election,0,1,1
2021-10-31,Trump,1,1,0
2021-10-31,Election,6,6,0
2021-11-07,Trump,1,1,0
2021-11-07,Election,0,0,0
2021-11-14,Trump,1,1,0
2021-11-14,Election,0,0,0
2021-11-21,Trump,1,1,0
2021-11-21,Election,0,0,0
2021-11-28,Trump,1,1,0
2021-11-28,Election,0,0,0
2021-12-05,Trump,1,1,0
2021-12-05,Election,0,0,0
2021-12-12,Trump,1,1,0
2021-12-12,Election,0,0,0
2021-12-19,Trump,1,1,0
2021-12-19,Election,0,0,0
2021-12-26,Trump,1,1,0
2021-12-26,Election,0,0,0
2022-01-02,Trump,1,1,0
2022-01-02,Election,0,0,0
2022-01-09,Trump,1,1,0
2022-01-09,Election,0,0,0
2022-01-16,Trump,1,1,0
2022-01-16,Election,0,0,0
2022-01-23,Trump,1,1,0
2022-01-23,Election,0,0,0
2022-01-30,Trump,1,1,0
2022-01-30,Election,0,0,0
2022-02-06,Trump,1,1,0
2022-02-06,Election,0,0,0
2022-02-13,Trump,1,1,0
2022-02-13,Election,0,0,0
2022-02-20,Trump,2,2,0
2022-02-20,Election,0,0,0
2022-02-27,Trump,2,2,0
2022-02-27,Election,1,1,0
2022-03-06,Trump,1,1,0
2022-03-06,Election,1,1,0
2022-03-13,Trump,1,1,0
2022-03-13,Election,0,0,0
2022-03-20,Trump,1,1,0
2022-03-20,Election,0,0,0
2022-03-27,Trump,1,1,0
2022-03-27,Election,0,0,0
2022-04-03,Trump,1,1,0
2022-04-03,Election,1,1,0
2022-04-10,Trump,1,1,0
2022-04-10,Election,1,1,0
2022-04-17,Trump,1,1,0
2022-04-17,Election,0,0,0
2022-04-24,Trump,1,1,0
2022-04-24,Election,1,1,0
2022-05-01,Trump,1,1,0
2022-05-01,Election,1,1,0
2022-05-08,Trump,1,1,0
2022-05-08,Election,1,1,0
2022-05-15,Trump,1,1,0
2022-05-15,Election,1,1,0
2022-05-22,Trump,1,1,0
2022-05-22,Election,1,1,0
2022-05-29,Trump,1,1,0
2022-05-29,Election,0,0,0
2022-06-05,Trump,1,1,0
2022-06-05,Election,1,1,0
2022-06-12,Trump,1,1,0
2022-06-12,Election,1,1,0
2022-06-19,Trump,1,1,0
2022-06-19,Election,1,1,0
2022-06-26,Trump,1,2,1
2022-06-26,Election,1,1,0
2022-07-03,Trump,1,1,0
2022-07-03,Election,0,0,0
2022-07-10,Trump,4,4,0
2022-07-10,Election,0,0,0
2022-07-17,Trump,2,3,1
2022-07-17,Election,0,0,0
2022-07-24,Trump,1,1,0
2022-07-24,Election,0,0,0
2022-07-31,Trump,1,1,0
2022-07-31,Election,1,1,0
2022-08-07,Trump,3,3,0
2022-08-07,Election,1,1,0
2022-08-14,Trump,2,2,0
2022-08-14,Election,1,1,0
2022-08-21,Trump,1,2,1
2022-08-21,Election,1,1,0
2022-08-28,Trump,2,2,0
2022-08-28,Election,0,0,0
2022-09-04,Trump,1,1,0
2022-09-04,Election,0,0,0
2022-09-11,Trump,1,1,0
2022-09-11,Election,0,0,0
2022-09-18,Trump,1,1,0
2022-09-18,Election,0,0,0
2022-09-25,Trump,1,1,0
2022-09-25,Election,0,0,0
2022-10-02,Trump,1,1,0
2022-10-02,Election,1,1,0
2022-10-09,Trump,1,1,0
2022-10-09,Election,1,1,0
2022-10-16,Trump,1,1,0
2022-10-16,Election,1,1,0
2022-10-23,Trump,1,1,0
2022-10-23,Election,1,1,0
2022-10-30,Trump,1,1,0
2022-10-30,Election,2,2,0
2022-11-06,Trump,2,2,0
2022-11-06,Election,32,36,4
2022-11-13,Trump,3,4,1
2022-11-13,Election,8,8,0
2022-11-20,Trump,1,1,0
2022-11-20,Election,1,1,0
2022-11-27,Trump,1,1,0
2022-11-27,Election,1,1,0
2022-12-04,Trump,1,1,0
2022-12-04,Election,1,1,0
2022-12-11,Trump,1,1,0
2022-12-11,Election,0,0,0
2022-12-18,Trump,1,1,0
2022-12-18,Election,0,0,0
2022-12-25,Trump,1,1,0
2022-12-25,Election,0,0,0
2023-01-01,Trump,1,1,0
2023-01-01,Election,0,0,0
2023-01-08,Trump,1,1,0
2023-01-08,Election,0,0,0
2023-01-15,Trump,1,1,0
2023-01-15,Election,0,0,0
2023-01-22,Trump,1,1,0
2023-01-22,Election,0,0,0
2023-01-29,Trump,1,1,0
2023-01-29,Election,0,0,0
2023-02-05,Trump,1,1,0
2023-02-05,Election,0,0,0
2023-02-12,Trump,1,1,0
2023-02-12,Election,0,0,0
2023-02-19,Trump,1,1,0
2023-02-19,Election,0,0,0
2023-02-26,Trump,1,1,0
2023-02-26,Election,1,1,0
2023-03-05,Trump,1,1,0
2023-03-05,Election,0,0,0
2023-03-12,Trump,1,1,0
2023-03-12,Election,0,0,0
2023-03-19,Trump,4,4,0
2023-03-19,Election,0,0,0
2023-03-26,Trump,3,3,0
2023-03-26,Election,0,0,0
2023-04-02,Trump,5,5,0
2023-04-02,Election,1,1,0
2023-04-09,Trump,1,1,0
2023-04-09,Election,0,0,0
2023-04-16,Trump,1,1,0
2023-04-16,Election,0,0,0
2023-04-23,Trump,1,1,0
2023-04-23,Election,0,0,0
2023-04-30,Trump,1,1,0
2023-04-30,Election,0,1,1
2023-05-07,Trump,2,2,0
2023-05-07,Election,1,1,0
2023-05-14,Trump,1,1,0
2023-05-14,Election,1,1,0
2023-05-21,Trump,1,1,0
2023-05-21,Election,0,0,0
2023-05-28,Trump,1,1,0
2023-05-28,Election,0,0,0
2023-06-04,Trump,2,2,0
2023-06-04,Election,0,0,0
2023-06-11,Trump,3,3,0
2023-06-11,Election,0,0,0
2023-06-18,Trump,1,1,0
2023-06-18,Election,0,0,0
2023-06-25,Trump,1,1,0
2023-06-25,Election,0,0,0
2023-07-02,Trump,1,1,0
2023-07-02,Election,0,0,0
2023-07-09,Trump,1,1,0
2023-07-09,Election,0,0,0
2023-07-16,Trump,1,1,0
2023-07-16,Election,0,0,0
2023-07-23,Trump,1,1,0
2023-07-23,Election,0,0,0
2023-07-30,Trump,2,2,0
2023-07-30,Election,0,0,0
2023-08-06,Trump,1,2,1
2023-08-06,Election,0,1,1
2023-08-13,Trump,2,2,0
2023-08-13,Election,0,0,0
2023-08-20,Trump,5,5,0
2023-08-20,Election,0,0,0
2023-08-27,Trump,2,2,0
2023-08-27,Election,0,0,0
2023-09-03,Trump,1,1,0
2023-09-03,Election,0,0,0
2023-09-10,Trump,1,1,0
2023-09-10,Election,0,0,0
2023-09-17,Trump,1,1,0
2023-09-17,Election,0,0,0
2023-09-24,Trump,1,2,1
2023-09-24,Election,0,0,0
2023-10-01,Trump,2,2,0
2023-10-01,Election,0,0,0
2023-10-08,Trump,1,1,0
2023-10-08,Election,0,0,0
2023-10-15,Trump,1,1,0
2023-10-15,Election,1,1,0
2023-10-22,Trump,1,1,0
2023-10-22,Election,1,1,0
2023-10-29,Trump,1,1,0
2023-10-29,Election,1,1,0
2023-11-05,Trump,2,2,0
2023-11-05,Election,5,5,0
2023-11-12,Trump,1,1,0
2023-11-12,Election,1,1,0
2023-11-19,Trump,1,1,0
2023-11-19,Election,0,0,0
2023-11-26,Trump,1,1,0
2023-11-26,Election,0,0,0
2023-12-03,Trump,1,1,0
2023-12-03,Election,0,1,1
2023-12-10,Trump,1,1,0
2023-12-10,Election,0,0,0
2023-12-17,Trump,2,2,0
2023-12-17,Election,0,0,0
2023-12-24,Trump,1,2,1
2023-12-24,Election,0,0,0
2023-12-31,Trump,1,1,0
2023-12-31,Election,0,0,0
2024-01-07,Trump,2,2,0
2024-01-07,Election,0,0,0
2024-01-14,Trump,2,2,0
2024-01-14,Election,1,1,0
2024-01-21,Trump,2,3,1
2024-01-21,Election,1,1,0
2024-01-28,Trump,2,2,0
2024-01-28,Election,0,0,0
2024-02-04,Trump,2,2,0
2024-02-04,Election,1,1,0
2024-02-11,Trump,2,2,0
2024-02-11,Election,1,1,0
2024-02-18,Trump,3,3,0
2024-02-18,Election,0,1,1
2024-02-25,Trump,2,2,0
2024-02-25,Election,1,1,0
2024-03-03,Trump,3,3,0
2024-03-03,Election,2,2,0
2024-03-10,Trump,2,2,0
2024-03-10,Election,1,1,0
2024-03-17,Trump,2,2,0
2024-03-17,Election,1,1,0
2024-03-24,Trump,2,2,0
2024-03-24,Election,0,0,0
2024-03-31,Trump,2,2,0
2024-03-31,Election,1,1,0
2024-04-07,Trump,2,2,0
2024-04-07,Election,0,0,0
2024-04-14,Trump,2,3,1
2024-04-14,Election,0,0,0
2024-04-21,Trump,2,2,0
2024-04-21,Election,1,1,0
2024-04-28,Trump,2,2,0
2024-04-28,Election,0,0,0
2024-05-05,Trump,2,2,0
2024-05-05,Election,1,1,0
2024-05-12,Trump,2,2,0
2024-05-12,Election,1,1,0
2024-05-19,Trump,2,2,0
2024-05-19,Election,1,1,0
2024-05-26,Trump,8,8,0
2024-05-26,Election,1,1,0
2024-06-02,Trump,3,3,0
2024-06-02,Election,2,2,0
2024-06-09,Trump,2,2,0
2024-06-09,Election,1,1,0
2024-06-16,Trump,2,2,0
2024-06-16,Election,0,1,1
2024-06-23,Trump,4,4,0
2024-06-23,Election,1,1,0
2024-06-30,Trump,3,3,0
2024-06-30,Election,1,1,0
2024-07-07,Trump,9,10,1
2024-07-07,Election,1,1,0
2024-07-14,Trump,25,26,1
2024-07-14,Election,1,1,0
2024-07-21,Trump,7,7,0
2024-07-21,Election,1,1,0
2024-07-28,Trump,6,6,0
2024-07-28,Election,1,1,0
2024-08-04,Trump,4,4,0
2024-08-04,Election,1,1,0
2024-08-11,Trump,4,4,0
2024-08-11,Election,1,1,0
2024-08-18,Trump,5,5,0
2024-08-18,Election,1,1,0
2024-08-25,Trump,4,4,0
2024-08-25,Election,1,1,0
2024-09-01,Trump,3,3,0
2024-09-01,Election,1,1,0
2024-09-08,Trump,6,6,0
2024-09-08,Election,1,1,0
2024-09-15,Trump,7,7,0
2024-09-15,Election,1,1,0
2024-09-22,Trump,3,3,0
2024-09-22,Election,1,1,0
2024-09-29,Trump,3,4,1
2024-09-29,Election,1,1,0
2024-10-06,Trump,3,4,1
2024-10-06,Election,1,1,0
2024-10-13,Trump,4,5,1
2024-10-13,Election,2,2,0
2024-10-20,Trump,6,6,0
2024-10-20,Election,3,3,0
2024-10-27,Trump,7,8,1
2024-10-27,Election,5,5,0
2024-11-03,Trump,25,26,1
2024-11-03,Election,100,100,0
2024-11-10,Trump,8,9,1
2024-11-10,Election,10,11,1
2024-11-17,Trump,4,4,0
2024-11-17,Election,3,3,0
2024-11-24,Trump,3,3,0
2024-11-24,Election,1,2,1
2024-12-01,Trump,2,3,1
2024-12-01,Election,1,1,0
2024-12-08,Trump,2,3,1
2024-12-08,Election,1,1,0
2024-12-15,Trump,2,2,0
2024-12-15,Election,1,1,0
2024-12-22,Trump,2,2,0
2024-12-22,Election,0,0,0
2024-12-29,Trump,3,3,0
2024-12-29,Election,0,0,0
2025-01-05,Trump,4,4,0
2025-01-05,Election,1,1,0
2025-01-12,Trump,4,4,0
2025-01-12,Election,0,0,0
2025-01-19,Trump,18,20,2
2025-01-19,Election,1,1,0
2025-01-26,Trump,9,10,1
2025-01-26,Election,0,1,1
2025-02-02,Trump,7,7,0
2025-02-02,Election,1,1,0
2025-02-09,Trump,6,6,0
2025-02-09,Election,0,0,0
2025-02-16,Trump,6,6,0
2025-02-16,Election,0,1,1
2025-02-23,Trump,6,7,1
2025-02-23,Election,1,1,0
2025-03-02,Trump,7,8,1
2025-03-02,Election,0,0,0
2025-03-09,Trump,5,5,0
2025-03-09,Election,0,1,1
