Category: All categories

Day,Trump: (United States),Kamala Harris: (United States),Election: (United States)
2026-06-12,44,<1,10
2026-06-13,50,<1,8
2026-06-14,58,<1,9
2026-06-15,74,<1,9
2026-06-16,52,<1,13
2026-06-17,47,<1,20
2026-06-18,49,<1,9
2026-06-19,49,<1,8
2026-06-20,48,1,8
2026-06-21,50,1,11
2026-06-22,40,<1,12
2026-06-23,42,1,16
2026-06-24,46,<1,22
2026-06-25,40,<1,7
2026-06-26,36,<1,7
2026-06-27,37,<1,7
2026-06-28,40,<1,9
2026-06-29,40,<1,8
2026-06-30,42,<1,8
2026-07-01,48,<1,12
2026-07-02,52,<1,8
2026-07-03,49,<1,6
2026-07-04,61,<1,6
2026-07-05,78,<1,6
2026-07-06,73,<1,7
2026-07-07,62,<1,6
2026-07-08,57,<1,8
2026-07-09,56,<1,7
2026-07-10,46,<1,9
2026-07-11,50,<1,8
2026-07-12,44,<1,8
2026-07-13,39,<1,7
2026-07-14,41,<1,6
2026-07-15,42,<1,6
2026-07-16,76,<1,6
2026-07-17,100,<1,14
2026-07-18,49,<1,8
2026-07-19,60,<1,10
2026-07-20,58,<1,7
2026-07-21,44,<1,8
2026-07-22,42,<1,11
2026-07-23,40,<1,7
2026-07-24,45,<1,6
2026-07-25,62,<1,5
2026-07-26,43,<1,6
2026-07-27,37,1,6
2026-07-28,38,1,6
2026-07-29,41,<1,6
2026-07-30,39,1,6
2026-07-31,35,1,5
2026-08-01,34,1,11
2026-08-02,39,<1,6
2026-08-03,38,<1,9
2026-08-04,38,<1,16
2026-08-05,36,<1,44
2026-08-06,36,<1,12
2026-08-07,38,1,15
2026-08-08,34,1,7
2026-08-09,31,<1,7
2026-08-10,37,<1,8
2026-08-11,45,<1,13
2026-08-12,41,<1,27
2026-08-13,38,<1,13
2026-08-14,34,1,10
2026-08-15,34,1,7
2026-08-16,37,<1,6
2026-08-17,38,<1,7
2026-08-18,36,<1,13
2026-08-19,36,<1,24
2026-08-20,37,1,6
2026-08-21,39,<1,5
2026-08-22,39,<1,4
2026-08-23,41,<1,4
2026-08-24,39,<1,6
2026-08-25,49,<1,7
2026-08-26,46,<1,10
2026-08-27,50,<1,6
2026-08-28,48,<1,6
2026-08-29,44,<1,5
2026-08-30,39,<1,5
2026-08-31,37,<1,6
2026-09-01,33,<1,6
2026-09-02,42,<1,8
2026-09-03,49,<1,6
2026-09-04,40,<1,6
2026-09-05,34,<1,4
2026-09-06,41,<1,5
2026-09-07,48,<1,6
2026-09-08,47,<1,6
2026-09-09,46,<1,8
2026-09-10,58,<1,9
2026-09-11,54,<1,6
2026-09-12,46,<1,5
