date,Harris,Kamala Harris,difference
2021-09-12,7,1,6
2021-09-19,8,1,7
2021-09-26,8,1,7
2021-10-03,7,1,6
2021-10-10,8,1,7
2021-10-17,8,1,7
2021-10-24,7,0,7
2021-10-31,7,1,6
2021-11-07,9,1,8
2021-11-14,11,3,8
2021-11-21,8,1,7
2021-11-28,8,1,7
2021-12-05,8,1,7
2021-12-12,7,1,6
2021-12-19,8,1,7
2021-12-26,8,1,7
2022-01-02,9,1,8
2022-01-09,10,1,9
2022-01-16,9,1,8
2022-01-23,7,1,6
2022-01-30,8,0,8
2022-02-06,9,0,9
2022-02-13,7,0,7
2022-02-20,7,1,6
2022-02-27,9,2,7
2022-03-06,8,2,6
2022-03-13,7,1,6
2022-03-20,8,1,7
2022-03-27,7,1,6
2022-04-03,9,1,8
2022-04-10,7,0,7
2022-04-17,7,1,6
2022-04-24,8,1,7
2022-05-01,7,1,6
2022-05-08,7,0,7
2022-05-15,7,0,7
2022-05-22,7,0,7
2022-05-29,7,0,7
2022-06-05,7,0,7
2022-06-12,7,0,7
2022-06-19,7,0,7
2022-06-26,7,1,6
2022-07-03,8,1,7
2022-07-10,8,1,7
2022-07-17,8,1,7
2022-07-24,8,1,7
2022-07-31,8,0,8
2022-08-07,9,0,9
2022-08-14,7,0,7
2022-08-21,7,0,7
2022-08-28,8,0,8
2022-09-04,7,0,7
2022-09-11,8,1,7
2022-09-18,7,0,7
2022-09-25,7,1,6
2022-10-02,8,1,7
2022-10-09,8,0,8
2022-10-16,7,0,7
2022-10-23,9,1,8
2022-10-30,7,0,7
2022-11-06,8,0,8
2022-11-13,7,0,7
2022-11-20,7,0,7
2022-11-27,7,0,7
2022-12-04,6,0,6
2022-12-11,7,0,7
2022-12-18,15,0,15
2022-12-25,11,1,10
2023-01-01,7,0,7
2023-01-08,7,0,7
2023-01-15,9,1,8
2023-01-22,7,0,7
2023-01-29,7,1,6
2023-02-05,8,1,7
2023-02-12,7,1,6
2023-02-19,7,0,7
2023-02-26,7,0,7
2023-03-05,6,0,6
2023-03-12,7,1,6
2023-03-19,7,0,7
2023-03-26,7,0,7
2023-04-02,7,0,7
2023-04-09,8,0,8
2023-04-16,7,0,7
2023-04-23,7,0,7
2023-04-30,7,1,6
2023-05-07,7,0,7
2023-05-14,7,0,7
2023-05-21,6,0,6
2023-05-28,7,0,7
2023-06-04,7,0,7
2023-06-11,6,0,6
2023-06-18,7,0,7
2023-06-25,7,0,7
2023-07-02,7,1,6
2023-07-09,7,1,6
2023-07-16,7,1,6
2023-07-23,7,0,7
2023-07-30,6,0,6
2023-08-06,7,0,7
2023-08-13,7,0,7
2023-08-20,6,0,6
2023-08-27,6,0,6
2023-09-03,7,0,7
2023-09-10,7,1,6
2023-09-17,7,0,7
2023-09-24,7,0,7
2023-10-01,6,0,6
2023-10-08,7,1,6
2023-10-15,9,0,9
2023-10-22,6,0,6
2023-10-29,7,0,7
2023-11-05,6,0,6
2023-11-12,6,0,6
2023-11-19,7,0,7
2023-11-26,8,0,8
2023-12-03,6,0,6
2023-12-10,6,0,6
2023-12-17,7,0,7
2023-12-24,7,0,7
2023-12-31,7,0,7
2024-01-07,7,0,7
2024-01-14,7,0,7
2024-01-21,7,0,7
2024-01-28,7,0,7
2024-02-04,7,0,7
2024-02-11,6,1,5
2024-02-18,7,0,7
2024-02-25,6,0,6
2024-03-03,8,1,7
2024-03-10,6,0,6
2024-03-17,6,0,6
2024-03-24,7,0,7
2024-03-31,6,0,6
2024-04-07,7,0,7
2024-04-14,7,0,7
2024-04-21,7,0,7
2024-04-28,8,0,8
2024-05-05,7,0,7
2024-05-12,6,0,6
2024-05-19,6,0,6
2024-05-26,6,0,6
2024-06-02,7,0,7
2024-06-09,6,0,6
2024-06-16,6,0,6
2024-06-23,8,1,7
2024-06-30,10,3,7
2024-07-07,10,2,8
2024-07-14,11,4,7
2024-07-21,97,66,31
2024-07-28,44,27,17
2024-08-04,45,23,22
2024-08-11,29,13,16
2024-08-18,41,23,18
2024-08-25,30,12,18
2024-09-01,23,8,15
2024-09-08,45,18,27
2024-09-15,24,10,14
2024-09-22,22,9,13
2024-09-29,21,8,13
2024-10-06,23,9,14
2024-10-13,30,12,18
2024-10-20,32,15,17
2024-10-27,36,15,21
2024-11-03,100,65,35
2024-11-10,16,7,9
2024-11-17,10,3,7
2024-11-24,9,2,7
2024-12-01,8,1,7
2024-12-08,7,1,6
2024-12-15,8,1,7
2024-12-22,8,1,7
